Ano;Total Vendido por Ano;Tipos
2008;6124226;Total Vendido por Ano
2009;8218207;Total Vendido por Ano
2010;1930512;Total Vendido por Ano
2011;2698169;Total Vendido por Ano
2012;4616928;Total Vendido por Ano
2013;21643628;Total Vendido por Ano
2014;5934058;Total Vendido por Ano
2015;2160488;Total Vendido por Ano
2016;3774931;Total Vendido por Ano
2017;6504311;Total Vendido por Ano
2018;6839977;Total Vendido por Ano
2019;5401125;Total Vendido por Ano
2020;5552857;Total Vendido por Ano
2021;9035782;Total Vendido por Ano
2022;9177579;Total Vendido por Ano
2008;9793649;Total Produzido por Ano
2009;24977063;Total Produzido por Ano
2010;1095251;Total Produzido por Ano
2011;992503;Total Produzido por Ano
2012;5373911;Total Produzido por Ano
2013;8906298;Total Produzido por Ano
2014;1789680;Total Produzido por Ano
2015;942243;Total Produzido por Ano
2016;1586267;Total Produzido por Ano
2017;2703837;Total Produzido por Ano
2018;3652391;Total Produzido por Ano
2019;2974205;Total Produzido por Ano
2020;4187927;Total Produzido por Ano
2021;7755876;Total Produzido por Ano
2022;6729927;Total Produzido por Ano
;;
;;
